ProbeName	ZT23a	ZT01a	ZT03a	ZT05a	ZT07a	ZT09a	ZT11a	ZT13a	ZT15a	ZT17a	ZT19a	ZT21a	ZT23b	ZT01b
GS1_SS_00002_16347	0.189	-0.34885	-0.0233	0.801	-0.105	0.0065	0.106	0.1184	-0.0105	-0.2115	-0.6085	-0.0562	-0.0355	0.106
GS1_SS_00003_16888	0.08045	0.139	0.2785	0.5115	-0.484	-0.2725	-0.3482	-0.264	-0.1075	-0.08438	-0.1199	0.681	0.44935	0.0603
GS1_SS_00007_14861	-0.258	0.2352	-0.084	0.1367	-0.6145	-0.8125	-0.1705	0.55945	-0.112195	0.1375	0.3019	0.0527	0.3415	0.548
GS1_SS_00009_12762	0.22	-0.061	-0.065	-0.819	-0.893	-0.7315	-0.321	0.1067	-0.0259	0.3055	0.15075	0.523	0.481	0.286
GS1_SS_00011_16789	0.5675	-0.08695	0.4495	0.05895	-0.3655	-0.885	-0.7695	-0.5505	-0.163	-0.2807	0.2825	0.537	0.643	0.4285
GS1_SS_00016_00323	0.493	0.1875	0.257	-0.33	-1.016	-0.7035	-0.3575	0.13475	0.0225	0.1085	0.231	0.612	0.391	0.335
GS1_SS_00019_02015	0.5195	0.5185	0.657	0.293	-0.163	-0.18535	-0.3605	-0.5805	-0.6385	-0.4465	0.08395	0.135	0.16765	0.4035
GS1_SS_00020_18986	-0.1555	-0.1425	-0.194	-0.14555	-0.13105	0.1365	0.299	0.511	0.479	0.22515	-0.0634	-0.148	-0.20315	-0.12205
GS1_SS_00022_20026	0.443	0.2779	-0.06285	0.04275	-0.3965	-0.4879	-0.4705	-0.0705	-0.0815	0.152	0.08775	0.123	0.052	0.5185
GS1_SS_00027_18006	0.2501	0.1855	-0.11238	-0.6535	-0.6075	-0.586	-0.12175	0.10195	0.348	0.478	0.226	0.176	0.0222	-0.07925
GS1_SS_00031_10674	0.34185	0.031	0.2645	0.186	-0.364	-0.5325	-0.182	0.119	0.433	0.3655	0.3135	0.49	0.049425	0.2016
GS1_SS_00032_11430	-0.0803	-0.25635	0.273	0.117	0.2325	-0.0125	0.027	0.064	0.162	0.197	0.5215	0.0343	0.662	0.5635
GS1_SS_00033_11874	-0.148725	-0.493	-0.494	-0.7499	-0.3535	0.2945	0.9015	1.0545	0.4365	0.10545	0.0405	-0.0499	-0.228145	-0.562
GS1_SS_00034_11858	-0.06205	0.457	0.384	0.6875	0.217	-0.01505	-0.02555	-0.1935	-0.145	-0.0765	-0.0165	-0.0912	0.134	0.2163
GS1_SS_00037_14514	-0.118	-0.132	0.182	0.2153	0.2465	-0.7485	-1.51	-1.555	-0.429	-0.415	-0.2385	-0.0391	-0.16	0.041
GS1_SS_00038_20270	-0.1182	0.0275	-0.1659	-0.20885	-0.054	0.22915	0.472	0.6565	0.3045	-0.01	-0.1195	0.204	-0.337175	-0.4025
GS1_SS_00039_13324	-0.7355	-0.97	-0.916	-0.515	-0.5635	0.6545	0.705	1.27	0.639	0.394	0.11945	-0.46	-0.295	-0.7595
GS1_SS_00040_10111	-0.11755	-0.2204	-0.2413	0.3734	0.141	0.3235	0.32665	0.424	0.32195	0.066	0.1455	-0.043	-0.3485	-0.348
GS1_SS_00041_12635	0.3175	0.425	0.7175	0.554	0.4815	-0.2966	-0.8295	-1.22	-0.975	-0.8365	-0.49	-0.269	0.0797	0.612
GS1_SS_00042_09899	0.433	1.2	1.73	0.4032	0.291	-0.5165	-0.689	-0.931	-1.232	-0.4375	-0.18915	-0.349	0.6441	0.413
GS1_SS_00045_14409	-1.18	-1.183	-1.725	-0.851	0.0056	0.737	1.0715	0.895	0.377	0.1468	-0.19575	-0.435	-0.9285	-1.31
GS1_SS_00048_16360	-0.0846	-0.0445	-0.436	-0.2915	-0.13645	0.123	-0.0235	0.06045	0.6415	0.464	0.0985	-0.306	-0.1435	-0.404
GS1_SS_00050_15319	-0.09705	-0.15825	-0.3705	-0.5095	-0.6495	-0.2745	-0.1481	0.08255	0.309	0.3555	0.362	0.205	0.077525	0.117607
GS1_SS_00054_14737	0.2805	0.17925	0.204	-0.2275	-0.2829	-0.31745	-0.19245	-0.28945	0.016451	-0.11715	-0.11886	0.168	0.0654	0.1184
GS1_SS_00061_18971	-0.2465	-0.029	0.7285	0.779	0.7	0.4615	0.02565	-0.356	-0.525	-0.633	-0.4535	-0.75	-0.4235	-0.0423
GS1_SS_00064_19601	0.08572	-0.07055	0.05869	-0.0215	-0.24005	-0.2065	-0.1449	-0.084	0.20705	0.336	0.3755	0.237	0.1335	0.163
GS1_SS_00069_01155	0.0005	0.0459	0.374	0.5285	0.749	0.329	0.2666	-0.132	-0.1	-0.07675	-0.06985	-0.604	0.04765	-0.2475
GS1_SS_00070_12058	0.3486	0.05205	-0.4235	-0.11425	-0.07895	0.0623	0.33	0.4345	0.395	0.22105	0.295	0.327	-0.4004	0.02685
GS1_SS_00072_09999	0.264	0.40245	0.10675	-1.703	-1.57	-0.1191	0.271	0.306	0.7	0.8755	0.6335	-0.046	-0.2598	-1.0685
GS1_SS_00075_12059	-0.6155	0.331655	1.46	2.47	1.79	-0.742	-1.53	-3.27	-3.055	-3.22	-2.65	-2.8	-1.89	-0.691
GS1_SS_00079_10928	0.2172	-0.10625	-0.436	-0.1212	-0.4585	-0.20115	0.221	0.5225	0.12	0.3845	0.2655	0.375	0.175	0.10325
GS1_SS_00082_06509	0.06585	-0.10505	-0.2735	-0.649	-0.4195	-0.2955	0.012	0.10795	0	0.2125	0.2048	0.505	0.35365	0.09945
GS1_SS_00083_12679	0.2585	0.2545	0.029	-0.711	-1.415	-1.555	-1.325	-0.5925	-0.472	0.26935	0.417	0.703	0.7275	0.693
GS1_SS_00084_18450	0.0908	0.08725	0.1535	-0.108	-0.5535	-0.4425	-0.512	-0.497	-0.511	0.00605	0.15505	0.22	0.3235	0.5405
GS1_SS_00089_09220	-0.04985	-0.10295	-0.394	-0.7295	-0.5385	-0.13235	0.1012	0.181	0.3365	0.3515	0.2275	0.0711	0.0167	-0.13085
GS1_SS_00090_17329	-0.223	-0.533	-0.349765	-0.26	-0.10555	0.07285	0.2957	0.26205	0.468	0.01955	0.2865	-0.0698	-0.1342	-0.487
GS1_SS_00091_09993	0.3375	0.2125	0.7245	-0.2515	-0.499	0.0535	0.0775	0.2642	0.439	0.42	0.0225	-0.533	-0.33705	-0.2735
GS1_SS_00094_20065	0.0725	0.032	0.3155	0.186	-0.2145	-0.14203	-0.057	-0.138	-0.4635	-0.2475	-0.14935	-0.00791	0.1284	0.2955
GS1_SS_00096_09570	-1.51	-2.07	-1.735	-0.6465	0.2965	1.205	1.475	1.37	0.36905	-0.0105	-0.4755	-0.942	-1.22	-1.595
GS1_SS_00097_00551	0.421	-0.686	-0.3045	0.495	0.457	-0.1695	-0.16215	-0.4205	-0.07855	-0.2183	-0.0825	-0.157	-0.1096	0.2055
GS1_SS_00099_21780	-0.26435	0.0245	-0.14115	0.129	0.0155	-0.09445	0.334	0.5015	0.4365	0.3	0.112	-0.193	-0.146	-0.10595
GS1_SS_00101_20807	0.1088	0	-0.01005	-0.278	-0.482	-0.4285	-0.296	0.03665	0.08155	0.203	0.26625	0.117	0.05455	0.02065
GS1_SS_00102_14702	-1.205	-1.83	-1.59	-0.2475	0.655	1.0105	1.065	0.8585	0.3595	-0.0435	-0.2335	-0.822	-1.02	-1.425
GS1_SS_00110_07817	-0.1885	-0.1595	-0.1935	-0.028	0.388	0.2574	0.22265	-0.14335	0.196	-0.03225	-0.059	0.103	-0.0685	-0.6315
GS1_SS_00111_14214	0.357	0.17235	0.2184	-0.6155	-0.2305	0.0475	0.07905	0.0775	-0.2615	-0.143	0.0896	0.416	0.082	0.3485
GS1_SS_00114_09277	0.176	0.06555	0.11602	-0.0854	-0.441	-0.7715	-0.6005	0.0498	0.481	0.6105	0.6185	0.276	0.1408	0.01835
GS1_SS_00121_19999	0.082	0.228	0.0473	-0.0892	-0.424	-0.4885	-0.3535	-0.217	-0.2535	-0.1113	-0.05825	0.187	0.314	0.4255
GS1_SS_00125_11304	-0.4035	-0.4385	-1.205	-0.934	-0.691	0.469	0.7845	1.07	0.6205	0.52	0.16025	0.236	-0.324	-0.7835
GS1_SS_00133_18900	0.3665	0.141	0.1191	0.069	-0.337	-0.448	-0.2035	0.00734	0.2255	0.2162	0.33475	0.0754	0.018	0.003
GS1_SS_00136_07237	0.528	0.4615	0.4085	1.0285	0.5815	-0.125	-0.916	-1.515	-0.753	-0.6965	-0.449	-0.243	-0.0636	0.06792
GS1_SS_00137_14312	-0.10085	-0.4805	-0.427	-0.479	0.003	-0.2135	0.0635	0.3685	0.12535	0.3285	0.2635	0.22	0.0405	-0.6885
GS1_SS_00138_18549	0.323	0.668	0.716	0.632	0.30325	-0.18245	-0.766	-0.889	-0.2765	-0.3535	-0.1865	-0.312	-0.14245	0.298
GS1_SS_00141_15755	0.1455	0.2292	-0.668	-1.125	-0.724	-0.441	-0.1225	-0.08235	0.0888	0.482	0.4045	0.642	0.583	0.576
GS1_SS_00142_20039	-0.338	0.00585	-0.1109	0.2525	0.7205	0.20715	0.1537	0.193	0.26	0.147	0.16785	-0.197	-0.0654	0.0225
GS1_SS_00150_11144	0.2445	0.0275	-0.5405	-0.7415	-1.045	-0.181	0.388	0.651	0.7785	0.439	0.19615	-0.0926	-0.3995	-0.413
GS1_SS_00154_16809	0.08315	-0.2775	-0.409	-0.47215	-1.27	-0.2923	0.2905	0.821	0.0136	0.0471	0.11825	0.471	0.1798	-0.2062
GS1_SS_00155_19594	0.0813	-0.279	-0.613	-1.515	-0.5875	-0.202	0.246	0.471	0.5335	0.3925	0.3324	0.213	0.2385	-0.111
GS1_SS_00158_13733	-0.00225	-0.4515	-0.3665	-0.6295	-0.585	-0.1584	0.13675	0.3685	-0.13195	-0.00895	0.1089	0.208	0.28	0.0165
GS1_SS_00161_20790	-0.06	-0.1345	0.6645	0.4535	0.59	0.5275	0.385	0.0312	-0.359	-0.574	-0.37	-0.259	-0.2085	-0.1085
GS1_SS_00166_14818	0.4532	0.1345	0.474	0.4335	-0.671	-1.6385	-1.425	-0.582	-0.15	-0.087	-0.35105	-0.052	0.42905	0.3755
GS1_SS_00169_15159	-0.086	-1.034	0.17987	-0.4165	-0.6325	-0.5305	0.0515	0.456	0.2712	0.2319	0.546	0.339	-0.17615	-0.257
GS1_SS_00173_02848	0.0695	-0.2251	0.818	1.595	1.76	0.42	-0.373	-1.575	-0.7875	-1.1425	-0.7785	-1.06	-0.743	-0.5935
GS1_SS_00174_21558	-1.84	-2.025	-1.98	0.9475	1.185	0.77	1.165	0.93	0.05555	-0.565	-0.848	-0.929	-1.625	-1.91
GS1_SS_00176_04703	0.13205	-0.03845	0.1945	0.429	0.29375	-0.15245	0.018	-0.3855	-0.1895	0.001	0.2299	0.13	0.1622	0.1925
GS1_SS_00179_05530	0.2205	0.11485	0.218	0.411	0.2465	-0.1045	-0.29875	-0.763	-0.1695	-0.239	-0.2525	-0.0421	0.0963	0.04535
GS1_SS_00180_12338	0.07567	-0.4585	-0.26	-0.265	-0.0595	0.1575	0.19655	0.1835	0.273	0.1206	0.1715	0.143	0.01595	-0.142
GS1_SS_00183_03382	-0.18935	-0.499	-0.6495	0.0559	1.295	0.4715	0.18555	-0.01165	0.12265	0.123025	0.0788	-0.0437	-0.1157	-0.1855
GS1_SS_00184_14092	-1.545	-2	-2.665	-1.278	0.6575	1.625	1.36	1.12	0.7495	-0.479	-1.775	-1.42	-2.265	-2.285
GS1_SS_00187_09901	0.058	0.069	0.233	0.3055	0.0595	0.07255	0.0253	-0.6435	-0.7375	-0.2575	0.0106	0.348	0.405	0.302
GS1_SS_00188_11083	-0.078	0.022	-1.01	-1.32	-0.597	0.3325	0.3865	0.677	0.731	0.8445	0.386	-0.325	-0.31885	-1.114
GS1_SS_00190_10768	0.0635	0.5265	0.832	0.7555	0.488	-0.411	-1.695	-2.355	-1.87	-1.96	-1.154	-0.811	0.277	0.685
GS1_SS_00200_10056	0.0885	0.462	0.3745	0.9195	-0.03665	-0.2385	-0.3025	-0.459	-0.066	-0.244	-0.28395	-0.2	0.0774	0.2265
GS1_SS_00203_15232	-1.645	-1.695	-1.38	0.347	1.665	1.48	1.24	0.562	0.7095	-0.07795	-0.8385	-2.66	-2.6	-2.83
GS1_SS_00204_10283	0.388	0.2562	0.341	-0.088	-0.13432	-0.026	-0.701	-0.13435	0.2655	0.18495	0.2757	-0.156	-0.03625	0.18705
GS1_SS_00207_07950	-0.0305	0.025	0.4135	0.6495	0.4885	0.261	0.4115	0.6935	-0.0225	-0.127	-0.1185	-0.228	-0.2118	-0.11395
GS1_SS_00208_12181	0.02255	0.006	0.0494	-0.13945	-0.0435	-0.1105	-0.206	-0.277	-0.111	-0.044	0.11005	-0.177	0.2749	0.18115
GS1_SS_00209_06867	0.276	0.36	0.489	0.212	-0.8985	-0.935	-0.5615	-0.3472	-0.2215	0.03	0.08445	-0.258	0.441	0.737
GS1_SS_00220_03417	0.0335	0.15265	0.248	-0.03205	-0.1545	-0.17	0.0225	0.0115	-0.04065	-0.05065	0.0135	0.244	0.1647	0.315
GS1_SS_00223_15807	0.016	0.27	0.806	0.537	0.17925	-0.3295	-0.1275	-0.4525	-0.459	-0.7385	-0.502	-0.0905	0.498	0.708
GS1_SS_00224_02692	-0.172	-0.3415	-0.2825	-0.4775	-0.598	0.001	0.2699	0.527	0.277	0.194	0.0835	-0.0991	-0.0545	-0.3695
GS1_SS_00236_09118	-0.522	-0.8045	0.1205	-0.049	0.917	0.685	0.2284	-0.1238	-0.38	-0.29	-0.1345	0.306	0.148	0.238
GS1_SS_00238_12178	-0.333	-0.18325	-0.337	0.345	0.506	0.4825	0.4085	0.444	0.163	0.02324	-0.0075	-0.0527	-0.3455	0.0287
GS1_SS_00240_19339	0.233	0.0118	0.1384	0.439	0.255	-0.2365	-0.3265	-0.255	-0.12785	-0.05375	0.05045	0.0736	0.11505	-0.02385
GS1_SS_00241_19560	0.25005	0.434	-0.15025	-0.588	-0.7085	-0.325	0.02	0.3485	0.259	0.2635	0.199	0.224	0.1705	-0.0299
GS1_SS_00243_02760	0.3835	0.1543	0.505	0.2435	0.0283	-0.3205	-0.3995	-0.5955	-0.6535	-0.3245	-0.0955	0.496	0.5015	0.7
GS1_SS_00246_05672	0.164005	-0.016	0.0444	0.0426	-0.194	0	-0.04831	0.0126	-0.08785	-0.034	0.2217	0.391	0.033	0.1145
GS1_SS_00247_17909	0.3755	0.8745	0.3525	0.2725	-0.934	0.187535	-0.1064	-0.746	-0.259	-0.329	-0.19695	0.278	0.376	0.24905
GS1_SS_00248_20496	0.4435	0.6955	0.9035	0.469	0.5025	0.0899	-0.377	-0.577	-0.37	-0.3685	-0.21105	-0.00803	-0.087	0.1118
GS1_SS_00249_14079	0.2275	0.16787	0.4755	0.459	0.336	0.1025	-0.13385	-0.3755	-0.1194	-0.06325	0.08685	0.17	0.0925	-0.01985
GS1_SS_00251_00031	0.145	0.1819	0.14195	0.2195	0.56	0.2763	0.19255	-0.2355	-0.2465	-0.003	0.02185	0.13	0.0931	0.193195
GS1_SS_00252_08835	0.071	0.007	0.2735	0.15535	0.13575	0.475	0.3385	-0.0055	0.114	-0.1985	-0.00515	0.000438	-0.0802	-0.1227
GS1_SS_00254_17418	-0.521	-0.7555	-0.877	-0.691	0.505	1.007	1.09	0.6675	0.4365	0.1008	-0.24795	-0.603	-0.788	-1.08
GS1_SS_00256_13873	-0.402	-0.5255	-0.369	0.3368	0.314	0.9115	0.858	0.8705	0.137	-0.4065	-0.39	-0.656	-0.8745	-0.993
GS1_SS_00260_20342	0.326	-0.3465	0.0245	0.1875	0.8385	0.4655	0.3025	0.383	0.2826	-0.3465	0.16545	0.511	0.1825	-0.09155
GS1_SS_00263_21153	-0.315	-0.11765	-0.0605	-0.2035	0.284	0.7585	0.435	0.027	-0.3605	-0.28625	0.0179	0.448	-0.057	-0.1746
GS1_SS_00267_06013	0.4035	0.224	0.4441	0.558	0.0025	-0.28025	-0.5845	-0.841	-0.27345	-0.2211	0.02337	0.713	0.05685	-0.2075
GS1_SS_00268_14291	0.2515	-0.01865	0.1276	0.16735	0.2732	-0.0895	-0.1553	-0.3615	-0.4245	-0.0874	0.15885	0.327	0.2373	0.384
GS1_SS_00270_03274	0.3115	0.1064	0.26825	-0.158	-0.497	-0.2455	-0.35	-0.3245	-0.07015	0.0495	0.094	0.138	0.353	0.196
GS1_SS_00271_17715	-0.028	-0.1832	0.1702	0.07185	0.327	0.03415	-0.02365	-0.3985	-0.4885	-0.5075	-0.371	-0.304	-0.17185	0.0887
GS1_SS_00272_17699	-0.069035	-0.14035	-0.30605	-0.646	-0.8445	-0.26975	-0.2285	0.3085	0.3065	0.4215	0.2075	0.11	0.381	0.2675
GS1_SS_00273_10095	-0.3735	-0.7755	-0.9965	-1.505	-0.4185	0.4545	0.742	0.8805	0.6075	0.372	0.0658	-0.272	-0.221	-0.451
GS1_SS_00276_04878	0.297	0.2455	0.2645	0.325	0.06795	-0.1705	-0.343	-0.205	-0.1675	-0.0977	-0.00634	0.175	0.254	0.307
GS1_SS_00277_09034	-0.462	-0.433	-0.0202	0.3365	0.7595	0.647	0.423	0.021815	-0.216	-0.3685	-0.2035	-0.168	-0.311	-0.3515
GS1_SS_00279_20580	-0.021	0.113	0.2075	0.3675	0.2195	0.1211	0.187	5E-05	0.0462	-0.06945	-0.005835	-0.138	-0.2075	0.07391
GS1_SS_00280_04396	0.2105	0.1715	0.09625	-0.0632	-0.222	-0.169	0.1525	0.0854	-0.07355	0.022	0.211	0.195	0.188	0.29
GS1_SS_00281_11022	-0.1216	-0.5195	-0.698	-0.8255	-0.7605	0.1276	0.1845	0.23775	0.2762	0.445	0.4415	0.138	0.31	-0.04695
GS1_SS_00282_09270	0.0953	0.3935	0.1482	0.04665	-0.4545	-0.358	-0.0328	0.0008	-0.08291	-0.0312	0.1326	0.363	0.279	0.3775
GS1_SS_00283_19610	-1.091	-2.415	-3.255	-2.865	-3.235	-0.2965	1.435	1.8	1.365	-0.79	-1.655	-1.62	-1.96	-3.65
GS1_SS_00284_02498	0.1006	-0.2445	0.0661	0.213	0.1593	0.0185	0.2775	-0.15285	-0.1545	-0.28185	-0.0646	0.432	0.25565	-0.0615
GS1_SS_00287_15114	0.1312	0.047	0.19065	0.0079	-0.11735	-0.2855	-0.07465	-0.17815	-0.08085	-0.04373	0.11105	0.316	0.1686	0.2365
GS1_SS_00288_08605	-0.5034	-0.10605	-0.71595	-0.2445	-0.14335	0.5125	0.6185	0.77	-0.049	-0.021	0.2365	0.087	-0.626	-0.5955
GS1_SS_00292_13707	0.056325	0.045	0.0485	-0.0637	-0.2575	-0.2775	-0.226	-0.1828	-0.167	-0.07535	-0.0407	0.0587	0.0057	0.01025
GS1_SS_00296_18314	-0.505	-0.782	-0.6995	-0.3045	0.4545	0.7985	0.3805	0.6215	0.10505	-0.159	-0.363	-0.672	-0.773	-0.834
GS1_SS_00301_12572	0.1163	-0.2545	0.2129	0.619	0.334	0.48	0.295	0.3625	0.03	-0.1454	-0.0687	-0.309	0.0383	0.1405
GS1_SS_00302_19006	0.1725	0.4145	0.288	0.429	0.5365	0.3985	0.1471	0.167	0.1897	0.008	-0.06435	-0.258	-0.239	-0.03125
GS1_SS_00304_06316	-0.0165	0.04735	-0.06785	0.52	1.2285	0.633	0.2456	-0.237	0.16485	-0.422	-0.418	-0.441	-0.7875	-0.7495
GS1_SS_00305_19541	0.0489	-0.07015	-0.458	-0.6405	-0.7295	-0.406	0.2203	0.7205	0.6585	0.317	0.3025	0.077	0.0962	-0.0385
GS1_SS_00306_10505	0.20155	0.09765	0.07485	0.3315	0.18	0.2425	0.1325	0.052	-0.011	0.0355	0.13902	0.209	-0.1075	0.2485
GS1_SS_00307_19580	0.5	0.2535	0.257	0.1424	-0.2861	-0.77	-0.957	-0.6765	-0.235	0.027	0.296	0.508	0.425	0.539
GS1_SS_00315_06622	-0.674	-0.6385	-0.3985	0.4475	0.7555	0.561	0.4405	0.1213	0.1118	-0.0511	-0.266	-0.333	-0.15235	-0.244
GS1_SS_00319_12530	-0.226	-1.082	-0.92	0.54415	-0.299	-0.63765	-0.37895	0.28385	-0.359	0.5375	1.098	0.802	-0.16195	-0.335
GS1_SS_00323_10701	0.6555	0.97	1.68	0.8945	0.2101	-0.7745	-2	-3.315	-3.33	-2.555	-1.595	-0.574	0.297	1.0045
GS1_SS_00325_21070	0.0769	0.0252	-0.254	-0.689	-0.8765	-0.7005	-0.43	-0.2843	-0.021	0.20135	0.199	0.31	0.243	0.2195
GS1_SS_00329_09488	-0.09685	-0.233	-0.1291	-0.0238	0.106465	0.3145	0.4535	0.4145	-0.0212745	-0.0563	-0.10305	-0.105	-0.1441	-0.0243972
GS1_SS_00331_11604	0.9415	0.238	-0.0079	0.9585	-0.0025	-0.013	-0.708	-0.1845	-0.19615	-0.6355	0.079	-0.299	0.28185	0.125
GS1_SS_00332_04492	-0.4135	-0.7075	-0.769	-0.7375	0.366	0.754	0.769	0.3975	-0.05345	0.0067	0.104595	0.0125	-0.2085	-0.437
GS1_SS_00335_09755	0.4135	0.6975	0.722	0.649	0.0154	-0.20035	-0.591	-0.5065	-0.053	-0.127125	-0.0148	0.0365	0.302	0.5585
GS1_SS_00337_01267	-0.3225	-0.4755	-0.5165	-0.445	0.3315	0.722	0.4935	0.1725	0.3745	0.1339	-0.119	-0.711	-0.808	-1.0355
GS1_SS_00341_02364	0.0655	0.276	0.24055	0.509	-0.1365	-0.144	0.085	0.183	0.033	-0.237	-0.3185	-0.274	-0.09425	0.3455
GS1_SS_00343_11026	-0.07535	-0.2391	-0.3465	-1.0635	-0.841	0.03	0.4965	0.699	0.4635	0.3165	0.16505	0.24	-0.0522	-0.271
GS1_SS_00344_00804	0.0946	0.1453	0.30225	0.2566	-0.07185	-0.3935	-0.291	-0.061	-0.037145	-0.0372	0.16185	0.292	0.3895	0.4805
GS1_SS_00346_03424	0.216	0.2935	0.8985	0.575	-0.006	-0.6535	-0.7435	-1.185	-0.8695	-0.907	-0.5715	-0.264	0.2675	0.6185
GS1_SS_00348_12354	0.0755	0.2325	0.239	0.1312	-0.27445	-0.456	-0.223	-0.4605	-0.42045	0.06	0.003955	0.16	0.0325	-0.28265
GS1_SS_00350_11004	0.04225	0.02886	-0.12615	0.46	0.426	0.528	0.3735	0.1886	0.393	-0.046	0.00215	-0.165	-0.401	-0.379
GS1_SS_00352_18730	0.10245	0.12315	-0.0015	-0.4235	-0.5555	-0.1114	0.0005	-0.07385	-0.01815	0.1425	0.2875	0.425	0.2155	0.3605
GS1_SS_00353_05249	0.0066	0.3025	0.284	0.616	0.873	0.4725	-0.012	-0.339	-0.11165	-0.35	-0.448	-0.518	-0.409	-0.10855
GS1_SS_00357_07789	0.164	0.2185	-0.08175	-0.09016	-0.167	-0.452	-0.361	-0.19335	-0.1102	0.1088	0.1815	0.416	0.366	0.4285
GS1_SS_00361_13138	0.252	-0.6681	0.45405	0.9845	0.861	-0.29471	0.0855	-0.509	-0.24545	0.079	0.268	0.0202	0.28	0.096
GS1_SS_00362_04466	0.0758	0.216	-0.1157	0.2025	0.0046	-0.161	-0.2047	-0.15275	-0.22085	-0.0076	0.304	0.167	0.1284	0.25625
GS1_SS_00367_05955	0.1765	0.2253	-0.2	-0.275	-0.6055	-0.5115	-0.4035	-0.2715	-0.2835	0.0931	0.15435	0.517	0.5085	0.657
GS1_SS_00368_18446	0.08845	0.2545	0.0981	-0.403	-0.654	-0.654	-0.11945	-0.1169	0.05105	0.12945	0.1241	0.269	0.402	0.526
GS1_SS_00369_13466	0.0695	0.11415	0.2605	-0.1985	0.09955	0.216	0.0687	-0.0765	-0.00615	-0.01555	0.08	0.122	-0.02235	0.1465
GS1_SS_00371_00193	-0.31	-1.022	-0.224	-0.08015	0.1235	-0.4955	0.2175	0.125	0.06745	-0.514	-0.13975	0.248	0.1395	0.311
GS1_SS_00374_07909	-0.01	-0.12515	-0.07105	-0.0727	0.13027	0.24	0.3555	0.2855	-0.059554	-0.0027	0.0055	0.216	-0.005	-0.0641
GS1_SS_00379_16060	0.0764	0.2835	0.3885	0.4935	0.5725	0.3245	0.27325	0.056	-0.18615	-0.2795	-0.0779	-0.0743	-0.04925	0.015
GS1_SS_00380_19508	0.2975	0.2545	0.374	0.271	-0.01845	-0.304	-0.4435	-0.4395	-0.3985	-0.155	0.1735	0.258	0.292	0.3965
GS1_SS_00382_05081	0.02075	0.3875	-0.115	1.455	-0.5085	-0.162	-0.4685	-0.4945	-0.483	-0.942	-0.987	-0.4	0.308	0.427
GS1_SS_00385_10561	-0.411	0.2613	0.3645	0.23695	-0.2165	-0.0075	0.7085	0.541	-0.111	-0.105	-0.349	-0.871	-0.0865	0.1665
GS1_SS_00388_06534	0.09	0.2665	0.2435	0.441	0.0809	0.13708	0.2255	0.0274	-0.09895	-0.18985	-0.16255	-0.172	-0.1065	-0.0889
GS1_SS_00391_11850	0.191	-0.271	0.718	0.6341	-0.089	-0.182	-0.37705	-0.2745	-0.3713	0.125	-0.3221	0.00315	0.408	0.2875
GS1_SS_00393_13684	0.273	0.2132	0.369	0.4415	0.4375	0.1185	-0.4105	-0.6335	-0.14765	-0.388	-0.1792	-0.315	-0.13395	0.06847
GS1_SS_00395_15840	0.354	-0.152	-0.2585	-0.3335	-1.101	-0.572	-0.2415	0.162	0.32905	-0.0545	0.1295	-0.0729	0.306695	0.266
GS1_SS_00398_05852	-0.2235	0.20455	0.1065	-0.3165	0.0085	-0.112	-0.0904	-0.0685	0.0074	0.28185	0.2425	-0.324	0.10645	-0.06
GS1_SS_00404_05432	0.16825	0.131	-0.0055	0.319	0.25	0.1317	-0.0849	-0.2055	0.12065	0.059	-0.3375	-0.487	-0.023335	-0.0625
GS1_SS_00406_20661	0.0885	-0.057	-0.288	-0.3935	-0.191	-0.08235	0.1615	0.3275	0.605	0.4485	0.331	-0.0837	-0.4415	-0.458
GS1_SS_00410_14265	-0.0536	-1.58	-0.492	-0.5495	0.1629	0.9415	0.9845	0.8225	-0.1527	-0.159	-0.451	-0.294	-0.095	-0.298
GS1_SS_00415_08826	-0.5225	-0.42345	0.07145	0.2865	0.3895	0.711	0.3179	0.3225	-0.252	-0.321	-0.765	-0.597	-0.771	-0.438
GS1_SS_00416_08793	-0.372	-0.4355	-0.6745	-0.3645	-0.0336	0.11293	0.286	0.5955	0.544	0.271	-0.0363	-0.00819	0.06	0.11165
GS1_SS_00417_11130	0.4375	0.277	0.0516	-0.4655	0.075825	-0.0805	-0.1917	0.171	-0.085	0.375	0.09305	-0.146	0.1858	0.221
GS1_SS_00419_19403	0.016	-0.442	0.01805	0.3988	0.03315	0.277	-0.0315	0.204	-0.0245	-0.1404	-0.3555	0.194	0.2395	0.0685
GS1_SS_00421_09829	0.2644	0.755	1.118	0.353	0.351	-0.0471	-0.46	-0.724	-0.6775	-0.523	-0.3301	0.108	0.099	0.6375
GS1_SS_00422_08784	0.301	0.2198	0.5615	0.026	-0.3225	-0.364	-0.425	-0.276	0.12605	0.188005	0.327	0.231	0.11942	0.15145
GS1_SS_00428_03383	-0.1812	-0.09315	0.07405	0.16905	0.27018	0.541	0.219	0.13515	0.109	-0.12145	-0.198	-0.167	-0.252	-0.4895
GS1_SS_00431_19531	0.0585	-0.0698	-0.04	0.3835	1.042	0.3625	-0.4205	-0.793	-0.3445	-0.2079	-0.0512	0.138	-0.185	-0.1875
GS1_SS_00435_10744	-1.9	-1.255	-1.182	-0.537	-0.43535	0.3445	1.45	0.7735	-0.0725	0.002	-0.595	-2.12	-0.569	-0.4915
